OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,DiscountPercent,Channel,Country
O000001,2024-01-01,C01793,P041,2,30.03,0.0,Website,FR
O000002,2024-01-01,C00649,P010,1,53.09,0.0,Website,UK
O000003,2024-01-01,C00489,P045,3,30.85,0.0,Website,UK
O000004,2024-01-01,C00338,P018,3,77.96,0.0,Mobile app,NL
O000005,2024-01-01,C01373,P006,3,49.77,0.05,Mobile app,UK
O000006,2024-01-01,C01983,P044,4,27.45,0.1,Website,UK
O000007,2024-01-01,C01680,P036,1,25.46,0.05,Website,NL
O000008,2024-01-01,C01866,P037,2,12.29,0.0,Website,IT
O000009,2024-01-01,C00062,P043,1,16.63,0.1,Amazon,UK
O000010,2024-01-01,C01192,P026,2,72.76,0.0,Website,NL
O000011,2024-01-02,C01556,P036,1,23.55,0.0,Amazon,FR
O000012,2024-01-02,C01263,P020,3,59.85,0.0,Amazon,FR
O000013,2024-01-02,C00389,P003,1,40.48,0.0,Mobile app,FR
O000014,2024-01-02,C00848,P013,1,63.41,0.0,Mobile app,NL
O000015,2024-01-02,C00303,P016,2,51.16,0.0,Mobile app,FR
O000016,2024-01-02,C00748,P013,1,59.81,0.05,Website,NL
O000017,2024-01-02,C00836,P039,1,24.57,0.05,Website,IT
O000018,2024-01-02,C01344,P027,4,77.28,0.0,Website,ES
O000019,2024-01-03,C01255,P030,4,34.62,0.15,Mobile app,IT
O000020,2024-01-03,C01640,P044,1,28.8,0.0,Website,IT
O000021,2024-01-03,C00640,P005,1,62.69,0.0,Website,UK
O000022,2024-01-03,C01667,P043,1,15.96,0.0,Website,IT
O000023,2024-01-03,C01309,P040,2,16.45,0.1,Website,IT
O000024,2024-01-03,C01877,P030,1,34.39,0.15,Website,FR
O000025,2024-01-03,C01786,P023,4,47.52,0.1,Mobile app,ES
O000026,2024-01-03,C01561,P043,4,16.14,0.0,Mobile app,DE
O000027,2024-01-03,C01421,P026,2,72.26,0.0,Amazon,UK
O000028,2024-01-03,C01404,P038,2,27.12,0.0,Mobile app,FR
O000029,2024-01-03,C01634,P021,1,40.66,0.05,Amazon,IT
O000030,2024-01-03,C01705,P028,2,63.5,0.15,Amazon,ES
O000031,2024-01-03,C00916,P038,3,27.14,0.0,Website,NL
O000032,2024-01-03,C00748,P011,1,52.87,0.15,Mobile app,UK
O000033,2024-01-03,C01368,P004,4,46.19,0.0,Mobile app,ES
O000034,2024-01-03,C00994,P030,2,35.3,0.0,Website,UK
O000035,2024-01-04,C00312,P011,1,55.45,0.0,Website,DE
O000036,2024-01-04,C00752,P039,2,22.45,0.1,Website,FR
O000037,2024-01-04,C00305,P025,2,50.1,0.0,Website,DE
O000038,2024-01-04,C00669,P011,4,56.04,0.05,Mobile app,ES
O000039,2024-01-04,C01668,P040,1,15.95,0.0,Mobile app,UK
O000040,2024-01-04,C01764,P005,4,63.6,0.0,Mobile app,UK
O000041,2024-01-04,C00036,P027,4,75.81,0.15,Website,DE
O000042,2024-01-04,C00988,P037,2,11.48,0.1,Website,DE
O000043,2024-01-04,C00776,P011,2,55.41,0.0,Amazon,IT
O000044,2024-01-04,C01013,P017,1,40.6,0.0,Website,NL
O000045,2024-01-04,C01792,P023,1,47.28,0.0,Website,UK
O000046,2024-01-04,C00149,P025,1,49.03,0.05,Website,UK
O000047,2024-01-04,C00510,P022,1,38.47,0.1,Mobile app,UK
O000048,2024-01-04,C01951,P031,2,17.08,0.0,Website,IT
O000049,2024-01-04,C00183,P010,4,52.02,0.05,Mobile app,FR
O000050,2024-01-04,C01725,P027,2,74.23,0.0,Amazon,FR
O000051,2024-01-04,C01235,P011,1,54.37,0.0,Website,UK
O000052,2024-01-05,C00161,P034,4,15.13,0.0,Amazon,UK
O000053,2024-01-05,C00809,P041,4,29.02,0.0,eBay,FR
O000054,2024-01-05,C00199,P036,1,25.09,0.0,Amazon,FR
O000055,2024-01-05,C01703,P016,2,53.34,0.05,Mobile app,UK
O000056,2024-01-05,C00476,P035,2,15.03,0.0,Website,UK
O000057,2024-01-05,C01819,P024,1,47.32,0.0,Website,FR
O000058,2024-01-05,C00273,P043,1,16.54,0.0,Website,UK
O000059,2024-01-05,C00142,P018,1,72.8,0.15,Mobile app,UK
O000060,2024-01-05,C00068,P036,1,24.02,0.05,Website,UK
O000061,2024-01-05,C01965,P007,2,62.34,0.15,Website,UK
O000062,2024-01-05,C00233,P015,1,52.96,0.05,eBay,UK
O000063,2024-01-05,C01779,P022,1,40.16,0.0,Website,FR
O000064,2024-01-05,C01658,P009,2,49.95,0.0,Website,UK
O000065,2024-01-05,C00443,P021,2,38.6,0.05,Website,ES
O000066,2024-01-05,C00836,P003,1,41.4,0.05,Website,IT
O000067,2024-01-05,C01023,P032,3,27.31,0.15,Mobile app,ES
O000068,2024-01-05,C01705,P028,2,60.17,0.15,Website,UK
O000069,2024-01-05,C00375,P029,3,34.86,0.1,eBay,DE
O000070,2024-01-06,C01265,P044,4,26.26,0.1,Mobile app,DE
O000071,2024-01-06,C00929,P043,2,16.73,0.1,Website,UK
O000072,2024-01-06,C00776,P011,1,53.7,0.05,Website,UK
O000073,2024-01-06,C01628,P002,1,70.31,0.0,Website,DE
O000074,2024-01-06,C00471,P002,3,64.41,0.0,eBay,FR
O000075,2024-01-06,C00361,P041,1,31.76,0.15,Mobile app,NL
O000076,2024-01-06,C01284,P021,1,40.77,0.1,Website,UK
O000077,2024-01-06,C01784,P022,1,40.15,0.05,Amazon,UK
O000078,2024-01-06,C00700,P032,2,27.04,0.1,Website,FR
O000079,2024-01-06,C00681,P044,4,27.68,0.0,eBay,UK
O000080,2024-01-06,C00505,P005,1,67.13,0.15,Mobile app,NL
